ws             	date       	time    	  hr	 rdy	 bsy	  rd	  wr	  ka	 log	 dns	 cls	mwas	mwgt
webhost020 	Nov-03-2017	16:09:58	  16	  41	  34	   8	   9	  17	   0	   0	   0	   5	   4
webhost020 	Nov-03-2017	16:14:58	  16	  46	  29	  17	   1	  11	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	16:19:58	  16	  65	  10	   0	   0	  10	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:24:58	  16	  55	  20	  11	   1	   8	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	16:29:58	  16	  62	  13	   5	   0	   8	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:34:58	  16	  72	   3	   0	   0	   3	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:39:58	  16	  67	   8	   5	   0	   3	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:49:58	  16	  72	   3	   0	   0	   3	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:54:58	  16	  73	   2	   0	   0	   2	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	16:59:58	  16	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	17:24:58	  17	  68	   7	   6	   1	   0	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	17:49:59	  17	  73	   2	   0	   0	   2	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	17:54:59	  17	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	17:59:59	  17	  69	   6	   6	   0	   0	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	18:04:59	  18	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	18:19:59	  18	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	19:40:00	  19	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	19:50:00	  19	  74	   1	   0	   1	   0	   0	   0	   0	   1	   0
webhost020 	Nov-03-2017	20:25:00	  20	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost020 	Nov-03-2017	20:40:00	  20	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
webhost030 	Nov-03-2017	07:08:51	  07	  74	   1	   0	   0	   1	   0	   0	   0	   0	   0
